list-id,name,birth-name,birthday,zodiac-sign,recent-studio-albums,looking-for,hobby,hometown,notable-lyrics,artist-pic,indexfor-artist-pic
1,Doja Cat,Amalaratna Zandile Dlamini,10/21/1995,Libra,"                                            
Hot Pink (2019)",Someone I can stick french fries up my nose with,Long walks on the beach and picnics,"Los Angeles, California, U.S.","""Where that n*gga who don't play mind games at?
You got a fake gold chain on, change that""",pic1.jpg,doja.jpg
2,SZA,Solána Imani Rowe,11/8/1990,Scorpio,Ctrl (2017),Someone who is committed to me and my spiritual healing journey of self-love,Going out for a long night of dancing,"Maplewood, New Jersey, U.S.","""Done with these n*ggas
I don't love these n*ggas
I dust off these n*ggas
Do it for fun""",pic2.jpg,i-pic2.jpg
3,Tyler the Creator,Tyler Gregory Okonma,3/6/1991,Pisces,Igor (2019),Someone who isn't afraid to try new things,Kickin' it back at the house listening to old r&b albums,"Ladera Heights, California, U.S.","""Cause you make my earth quake
Oh, you make my earth quake
Riding around, your love is shakin' me up and it's making my heart break""",pic3.jpg,i-pic3.jpg
4,Smino,Christopher Smith Jr.,10/2/1991,Libra,NOIR (2018),Any girl who knows how to do cornrows and two-strand twists,Undoing my twistouts and staying well rested,"St. Louis, Missouri, U.S","""It ain't no Backwoods on this side of town
Wanna ride with me to get some more?
Pick a couple of Wild Irish Roses""",pic4.jpg,i-pic4.jpg
5,Snoh Alegra,Shahrzad Fooladi,9/13/1985,Virgo,"Ugh, those feels again (2019)",A huge softee,Playing piano and writing love songs,"Uppsala, Sweden","""It's not that I don't want you here (yeah, yeah)
It's somethin' 'bout the way you stare into my eyes
I know that I don't make things clear (no)
I fall for you every time I try to resist you""",pic5.jpg,i-pic5.jpg
6,Kendrick Lamar,Kendrick Lamar Duckworth,6/17/1987,Gemini,DAMN (2017),Someone I can discuss political and racial injustice with,Fighting for the rights of my people,"Compton, California, U.S","""“This plot is bigger than me, it's generational hatred
It's genocism, it's grimy, little justification
I'm African-American, I'm African
I'm black as the heart of a fuckin' Aryan
I'm black as the name of Tyrone and Dareous”""",pic6.jpg,i-pic6.jpg
7,Drake,Aubrey Drake Graham,10/24/1986,Scorpio,Scorpion (2018),Someone who doesn't mind late night voicemails about how much I care for them,Staying up late and reminiscing about old times,"Toronto, Ontario, Canada","""Y'all don't even know what you want from love anymore
I search for something I'm missing and disappear when I'm bored
But girl, what qualities was I looking for before?
Who you settling for? Who better for you than the boy, huh?""",pic7.jpg,i-pic7.jpg
8,Nicki Minaj,Onika Tanya Maraj-Petty ,12/8/1982,Sagittarius,Queen (2018),A real man who can handle all this real woman,Coming up with family-related puns for my song verses,"Saint James, Port of Spain, Trinidad and Tobago","""Why these bitches don't ever be learnin?
You bitches'll never get what I be earnin
I'm still gettin plaques from my records that's urban
Ain't gotta rely on top 40
I am a rap legend, just go ask the kings of rap
Who is the queen and things of that
Nature; look at my finger, that is a glacier; hits like a lazerrrrrrrrrrrrr""",pic8.jpg,i-pic8.jpg
9,Frank Ocean,Christopher Edwin Cooksey,10/28/1987,Scorpio,Blonde (2016),Someone who doesn't mind me being absent for extremley long periods of time,Going ghost and coming up with creative ideas to return to the public eye,"Long Beach, California, U.S","""I thought that I was dreaming when you said you love me
The start of nothing
I had no chance to prepare
I couldn't see you coming
The start of nothing
I could hate you now
It's quite alright to hate me now
When we both know that deep down
The feeling still deep down is good""",pic9.jpg,i-pic9.jpg
10,Beyonce,Beyoncé Giselle Knowles-Carter,9/4/1981,Virgo,Lemonade (2016),Someone who is willing to fight for me the way my sister fought my husband in that elevator,Running riffs around the girls,"Houston, Texas, U.S","""I'm so unbothered, I'm so unbothered
Y'all be so pressed while I'm raisin' daughters
Sons of empires, y'all make me chuckle
Stay in your struggle, crystal blue water
Piña colada-in', you stay Ramada Inn
My baby father, bloodline Rwanda
Why would you try me? Why would you bother?
I am Beyoncé Giselle Knowles-Carter
I am the Nala, sister of Naruba
Oshun, Queen Sheba, I am the mother
Ankh on my gold chain, ice on my whole chain
I be like soul food, I am a whole mood""",pic10.jpg,i-pic10.jpg
11,Rihanna,Robyn Rihanna Fenty,2/20/1988,Pisces,Anti (2016),Someone who doesn't believe in dating apps,"Minding my business, staying out of yours and running a beauty empire","Saint Michael, Barbados","""Oh, and baby I'm fist fighting with fire
Just to get close to you
Can we burn something, babe?
And I run for miles just to get a taste
Must be love on the brain""",pic11.jpg,i-pic11.jpg
12,Childish Gambino,Donald McKinley Glover Jr.,25-Sep-83,Libra,3.15.20 (2020),Someone who doesn't mind a bare chest and eclectic dance moves,Making America uncomfortable and being a great dad,"Edwards Air Force Base, California, U.S.","""urled up with my head on your chest
It's the best remedy for the pain and the stress
If the world doesn't change then we'll never get dressed
It will be like this to the kiss of the death
Of my soul, bowl of the blue dream, no
Not a good team, once sold two half's
No joke, who laughs?
Just us (Just us, just us)""",pic12.jpg,i-pic12.jpg
13,Solange,Solange Piaget Knowles ,6/24/1986,Cancer,When I Get Home (2019),A down south country boy in touch with their homegrown roots and knows about some good southern cooking,"Claimimg my space. I am not just ""Beyonce's sister""","Houston, Texas, U.S","""Don't touch my hair
When it's the feelings I wear
Don't touch my soul
When it's the rhythm I know
Don't touch my crown
They say the vision I've found
Don't touch what's there
When it's the feelings I wear""",pic13.jpg,i-pic13.jpg
14,Rico Nasty,Maria-Cecilia Simone Kelly ,5/7/1997,Taurus,Anger Management,Somebody who loves to rage,Jumping into moshpits,"Washington D.C., U.S.","""I'm the bitch with the long hair and her top off
Talk tough, like a bottle top, we twist your top off
Had to hit the turn quick, just to get the narcs off
I'm the real deal shawty and you just the knock off""",pic14.jpg,i-pic14.jpg
15,Jhene Aiko,Jhené Aiko Efuru Chilombo,3/16/1988,Pisces,Chilombo (2020),Somebody who is ready to open their minds with the remedies of psilocybin,Finding inner peace and aligning my energies,"Los Angeles, California, U.S","""I've been contemplatin', meditatin'
Should've waited, should've never dated
You seem irritated, baby,?why?you never say?it?
Isn't this worth saving?
I can feel?you fading off
We're not gonna make it long
Guess you cannot take it
Guess it's worth sayin'""",pic15.jpg,i-pic15.jpg
16,Billie Eilish,Billie Eilish Pirate Baird O'Connell,12/18/2001,Sagittarius,"When We All Fall Asleep, Where Do We Go? (2019)",Somebody who can help me take out my Invisalign,Thrifting for the most oversized clothes I can find,"Los Angeles, California, U.S","""Look at you needing me
You know I'm not your friend without some greenery
Walk in wearing fetters
Peter should know better
Your cover up is caving in
Man is such a fool
Why are we saving him?
Poisoning themselves now
Begging for our help, wow!""",pic16.jpg,i-pic16.jpg
17,Chance Tha Rapper,Chancelor Jonathan Bennett ,4/16/1993,Aries,The Big Day (2019),Someone who can try and love my wife as much as I do,"Giving thanks to the lord and spending time with my incredible, amazing, wonderful family","Chicago, Illinois, U.S.","""We give the glory to you God
One livin' true God, he make us Booyah
Throw up the woo like U-God
They pop up statues and stones, tryna make a new God
I don't need a EGOT, as long as I got you God""",pic17.jpg,i-pic17.jpg
18,Jaden Smith,Jaden Christopher Syre Smith,7/8/1998,Cancer,Erys (2019),Somone with a killer sense of style,Moonwalking in brightly colored grills,"Malibu, California, U.S","""When I open my eyes, I wish to see you
But your phone doesn't ring and you're gone all the time
Well I guess you're somewhere with your crew
Isn't the first time, but the worst time, and I'm feeling so blue""",pic18.jpg,i-pic18.jpg
19,Cardi B,Belcalis Marlenis Almánzar,10/11/1992,Libra,Invasion of Privacy (2018),Someone with the reccesive gene for popping tounges and rolling their r's,Pole-dancing and making it look good,"New York City, New York, U.S.","""I gave you everything, what's mine is yours
I want you to live your life of course
But I hope you get what you dyin' for
Be careful with me, do you know what you doin'?
Whose feelings that you hurtin' and bruisin'?
You gon' gain the whole world
But is it worth the girl that you're losin'?
Be careful with me""",pic19.jpg,i-pic19.jpg
20,Erykah Badu,Erica Abi Wright,2/26/1971,Pisces,But You Caint Use My Phone (2015) (It's technically a mixtape but we just not gon' tell nobody),Someone who ain't got no friends named Tyrone,Being fly,"Dallas, Texas, U.S.","""Who gave you permission to rearrange me
Certainly not me
Who told you that it was alright to love me
Certainly not me""",pic20.jpg,i-pic20.jpg
